"name","pos","sourceName","name_fp","team_fp","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","returnTds","twoPts","fumbles","fg","xp","points"
"SAMBRADFORD","QB","fp","Sam Bradford","PHI",19,19,520.5,317.7,3773.2,25.2,12.8,39.6,128.2,1.3,NA,NA,NA,NA,NA,4.9,NA,NA,236.8
"CARSONPALMER","QB","fp","Carson Palmer","ARI",20,20,557.9,343,4044.9,24.3,14.2,23.9,60.8,0.6,NA,NA,NA,NA,NA,3.1,NA,NA,234.2
"JAMAALCHARLES","RB","fp","Jamaal Charles","KC",1,21,NA,NA,NA,NA,NA,234.4,1126.3,9.1,52.2,437.8,4.5,NA,NA,3.6,NA,NA,230.7
"ALEXSMITH","QB","fp","Alex Smith","KC",21,22,500,312,3431.3,21.5,11,55.2,275.3,1.5,NA,NA,NA,NA,NA,3.8,NA,NA,230.4
"MARSHAWNLYNCH","RB","fp","Marshawn Lynch","SEA",2,23,NA,NA,NA,NA,NA,278.3,1309,9.8,37.8,325.3,2.2,NA,NA,2.8,NA,NA,229.6
"EDDIELACY","RB","fp","Eddie Lacy","GB",3,24,NA,NA,NA,NA,NA,282.2,1265.8,9.6,45.7,368.9,2.2,NA,NA,2.6,NA,NA,229.1
"ADRIANPETERSON","RB","fp","Adrian Peterson","MIN",4,25,NA,NA,NA,NA,NA,282.7,1319.4,9.7,43.2,327,1.5,NA,NA,3.3,NA,NA,225.3
"ANDYDALTON","QB","fp","Andy Dalton","CIN",22,26,526.9,324.2,3645.9,22.4,18.2,54.7,184.4,1.9,NA,NA,NA,NA,NA,3.7,NA,NA,221.7
"MARCUSMARIOTA","QB","fp","Marcus Mariota","TEN",23,27,493.3,296.2,3441.8,18.5,15.2,67,358.3,2,NA,NA,NA,NA,NA,4.7,NA,NA,220
"LEVEONBELL","RB","fp","Le'Veon Bell","PIT",5,28,NA,NA,NA,NA,NA,240.5,1060.7,7,65.2,558.5,2.4,NA,NA,1.4,NA,NA,215.9
"JAMEISWINSTON","QB","fp","Jameis Winston","TB",24,29,519.6,307.3,3803.9,20.8,17.8,44.4,177.7,1.2,NA,NA,NA,NA,NA,5,NA,NA,215
"ANTONIOBROWN","WR","fp","Antonio Brown","PIT",1,30,NA,NA,NA,NA,NA,4.7,24.8,0,116.5,1535.9,9.9,NA,NA,1.4,NA,NA,213.1
"MATTFORTE","RB","fp","Matt Forte","CHI",6,31,NA,NA,NA,NA,NA,252.4,1062,6.5,69.1,575.1,2.4,NA,NA,2.2,NA,NA,212.6
"CJANDERSON","RB","fp","C.J. Anderson","DEN",7,32,NA,NA,NA,NA,NA,246.2,1112.7,9.3,44.8,379.9,1.5,NA,NA,1.3,NA,NA,211.5
"BLAKEBORTLES","QB","fp","Blake Bortles","JAC",25,33,533.2,316.4,3498.4,17.7,17.6,58.9,358.2,1.2,NA,NA,NA,NA,NA,5,NA,NA,208.3
"DEREKCARR","QB","fp","Derek Carr","OAK",26,34,584.6,346.1,3811.4,20.6,15.5,30,98.6,0.7,NA,NA,NA,NA,NA,5.5,NA,NA,206.9
