"name","player","pos","team","overallRank","pick","positionRank","projections","projectedPts_accu","projectedPts_cbs1","projectedPts_cbs2","projectedPts_espn","projectedPts_ffn","projectedPts_fp","projectedPts_fs","projectedPts_fftoday","projectedPts_fbg1","projectedPts_fbg2","projectedPts_fbg3","projectedPts_fbg4","projectedPts_fox","projectedPts_nfl","projectedPts_wf","projectedPts_yahoo","projectedPtsMean","projectedPtsMedian","vor","sdPick","sdPts","risk","nextBestAvg","dropOff"
"CROCKETTGILLMORE","Crockett Gillmore","TE","BAL",318,NA,98,5.75,NA,NA,NA,NA,NA,10.7,NA,NA,9,6,3.2,2.5,NA,NA,NA,NA,5.23333333333333,5.75,-91.5320757637192,NA,3.56328500123131,2.68328596807177,5.43674587229845,0.313254127701552
"JOSEPHMORGAN","Joseph Morgan","WR","NO",319,NA,131,31.1137190481934,NA,NA,NA,NA,NA,40.9,41.3,NA,NA,NA,NA,NA,NA,NA,NA,12.82,23.8466666666667,31.1137190481934,-91.5695530167103,NA,16.3286904965871,5.66684517792047,30.5448471901548,0.568871858038619
"KONRADREULAND","Konrad Reuland","TE","NYJ",320,NA,99,5.53349174459689,NA,NA,NA,NA,NA,4.7,NA,NA,NA,1,NA,18.5,NA,NA,NA,NA,4.84,5.53349174459689,-91.7485840191223,NA,9.22297854997686,4.00608224104755,5.27904219337669,0.2544495512202
"JEFFKING","Jeff King","TE","ARI",321,NA,100,5.34,9.72,NA,NA,NA,NA,NA,5.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.02,5.34,-91.9420757637192,NA,3.05470129472589,2.56441864324803,5.01069722851034,0.329302771489662
"VINCENTBROWN","Vincent Brown","WR","SD",322,NA,132,30.6901541015625,20.54,55.2,NA,NA,NA,33.05,NA,17.1,33.4,15,16.3,41,14.9,65.8,NA,NA,31.205,30.6901541015625,-91.9931179633412,NA,18.0740442808649,6.07477317984889,30.2685201393736,0.421633962188945
"BRANDONWILLIAMS","Brandon Williams","TE","CAR",323,NA,101,5.21808438675339,NA,NA,NA,NA,NA,0.9,NA,NA,16.2,NA,5.1,NA,NA,NA,NA,NA,5.55,5.21808438675339,-92.0639913769658,NA,7.90506166958867,3.69805575119356,4.78915503513364,0.428929351619744
"SANTANAMOSS","Santana Moss","WR","WAS",324,NA,133,30.3995402787471,44.34,52.2,29.7,NA,NA,36.59,41.2,15.5,21.6,2,21.1,3.5,44.2,36.8,NA,11.25,28.7973076923077,30.3995402787471,-92.2837317861566,NA,16.4413682832555,5.69318048299812,29.9289773254314,0.470562953315749
"LUKESTOCKER","Luke Stocker","TE","TB",325,NA,102,4.80331007026729,7.84,NA,NA,NA,NA,4.35,6.7,NA,NA,NA,1.6,NA,NA,NA,NA,NA,3.39833333333333,4.80331007026729,-92.4787656934519,NA,2.7615258463393,2.49589701975134,4.53125,0.27206007026729
"CRAIGSTEVENS","Craig Stevens","TE","TEN",326,NA,103,4.775,6.4,NA,NA,NA,NA,7.1,15.8,NA,5.8,1.5,3.1,1,NA,NA,NA,NA,5.71904761904762,4.775,-92.5070757637192,NA,5.01445529492107,3.02245674461875,4.2152332656253,0.559766734374703
"DEVINSTREET","Devin Street","WR","DAL",327,NA,134,30.1375,NA,43.1,49.4,NA,NA,46.25,13.8,NA,8.4,4.5,18,38,NA,NA,NA,NA,27.6895833333333,30.1375,-92.5457720649037,NA,18.3469331321925,6.13855337437068,29.6904355009992,0.447064499000824
"AJJENKINS","A.J. Jenkins","WR","KC",328,NA,135,29.7204546508627,41.56,57.6,18.1,36.2,NA,36.51,10.7,23.9,22.6,6.5,34,15,34.5,57.2,NA,10.82,29.0031168831169,29.7204546508627,-92.962817414041,NA,16.3796995269573,5.67876712293053,29.6302212197591,0.0902334311036341
