"name","pos","sourceName","name_espn","team_espn","positionRank","overallRank","passAtt","passComp","passYds","passTds","passInt","rushAtt","rushYds","rushTds","rec","recYds","recTds","points"
"CAREYSPEAR","K","espn","Carey Spear","CLE",37,182,0,0,0,0,0,0,0,0,0,0,0,101
"ARIZONACARDINALS","DST","espn","Arizona Cardinals","ARZ",16,183,0,0,0,0,0,0,0,0,0,0,0,101
"INDIANAPOLISCOLTS","DST","espn","Indianapolis Colts","IND",17,184,0,0,0,0,0,0,0,0,0,0,0,101
"NEWYORKGIANTS","DST","espn","New York Giants","NYG",18,185,0,0,0,0,0,0,0,0,0,0,0,101
"ZACHERTZ","TE","espn","Zach Ertz","PHI",7,186,0,0,0,0,0,0,0,0,52,652,6,100.5
"SANFRANCISCO49ERS","DST","espn","San Francisco 49ers","SF",19,187,0,0,0,0,0,0,0,0,0,0,0,100
"MICHAELCRABTREE","WR","espn","Michael Crabtree","OAK",52,188,0,0,0,0,0,0,0,0,64,749,4,98
"BRIANQUICK","WR","espn","Brian Quick","STL",53,189,0,0,0,0,0,0,0,0,52,745,4,98
"BRESHADPERRIMAN","WR","espn","Breshad Perriman","BAL",54,190,0,0,0,0,0,0,0,0,49,679,5,97
"MINNESOTAVIKINGS","DST","espn","Minnesota Vikings","MIN",20,191,0,0,0,0,0,0,0,0,0,0,0,97
"CLEVELANDBROWNS","DST","espn","Cleveland Browns","CLE",21,192,0,0,0,0,0,0,0,0,0,0,0,96
"BRANDONCOLEMAN","WR","espn","Brandon Coleman","NO",55,193,0,0,0,0,0,0,0,0,40,657,5,95
"DELANIEWALKER","TE","espn","Delanie Walker","TEN",8,194,0,0,0,0,0,0,0,0,64,727,4,94.6
"PERCYHARVIN","WR","espn","Percy Harvin","BUF",56,195,0,0,0,0,0,23,147,1,49,536,3,93.8
"MARTAVISBRYANT","WR","espn","Martavis Bryant","PIT",57,196,0,0,0,0,0,3,20,0,41,617,5,93
"LORENZOTALIAFERRO","RB","espn","Lorenzo Taliaferro","BAL",42,197,0,0,0,0,0,124,510,4,17,137,1,92.2
"CHICAGOBEARS","DST","espn","Chicago Bears","CHI",22,198,0,0,0,0,0,0,0,0,0,0,0,92
"JORDANCAMERON","TE","espn","Jordan Cameron","MIA",9,199,0,0,0,0,0,0,0,0,51,624,5,91.7
"VICTORCRUZ","WR","espn","Victor Cruz","NYG",58,200,0,0,0,0,0,0,0,0,50,675,4,91
"MARKUSWHEATON","WR","espn","Markus Wheaton","PIT",59,201,0,0,0,0,0,5,30,0,50,682,3,90.4
"DWAYNEALLEN","TE","espn","Dwayne Allen","IND",10,202,0,0,0,0,0,0,0,0,50,544,6,89.5
"GENOSMITH","QB","espn","Geno Smith","NYJ",33,203,206,121,1465,8,7,21,107,1,0,0,0,88.5
"CHARLESSIMS","RB","espn","Charles Sims","TB",43,204,0,0,0,0,0,95,368,2,46,381,1,88.2
"KENNYBRITT","WR","espn","Kenny Britt","STL",60,205,0,0,0,0,0,0,0,0,43,645,4,88
"LARRYDONNELL","TE","espn","Larry Donnell","NYG",11,206,0,0,0,0,0,0,0,0,50,594,5,87.9
"TENNESSEETITANS","DST","espn","Tennessee Titans","TEN",23,207,0,0,0,0,0,0,0,0,0,0,0,87
"TYMONTGOMERY","WR","espn","Ty Montgomery","GB",61,208,0,0,0,0,0,6,40,0,41,553,4,86.6
"BRANDONLAFELL","WR","espn","Brandon LaFell","NE",62,209,0,0,0,0,0,0,0,0,49,620,4,86
"ROBERTGRIFFIN","QB","espn","Robert Griffin","WAS",34,210,171,107,1260,7,4,25,154,1,0,0,0,85.5
"JORDANREED","TE","espn","Jordan Reed","WAS",12,211,0,0,0,0,0,0,0,0,60,624,4,85.1
"OWENDANIELS","TE","espn","Owen Daniels","DEN",13,212,0,0,0,0,0,0,0,0,50,557,5,84.9
"TYLEREIFERT","TE","espn","Tyler Eifert","CIN",14,213,0,0,0,0,0,0,0,0,53,615,4,84.5
"ANDREWILLIAMS","RB","espn","Andre Williams","NYG",44,214,0,0,0,0,0,132,536,4,9,73,0,84.2
"ALLENHURNS","WR","espn","Allen Hurns","JAC",63,215,0,0,0,0,0,4,24,0,48,644,3,84
"ALFREDBLUE","RB","espn","Alfred Blue","HOU",45,216,0,0,0,0,0,138,537,3,15,120,0,83.2
"COLEBEASLEY","WR","espn","Cole Beasley","DAL",64,217,0,0,0,0,0,0,0,0,48,577,4,82.9
"HEATHMILLER","TE","espn","Heath Miller","PIT",15,218,0,0,0,0,0,0,0,0,54,609,4,82.9
"ERICEBRON","TE","espn","Eric Ebron","DET",16,219,0,0,0,0,0,0,0,0,53,590,4,82.5
"DAVIDJOHNSON","RB","espn","David Johnson","ARZ",46,220,0,0,0,0,0,87,354,3,32,259,1,82.3
"JONASGRAY","RB","espn","Jonas Gray","NE",47,221,0,0,0,0,0,111,478,5,7,58,0,82.3
"LEONARDHANKERSON","WR","espn","Leonard Hankerson","ATL",65,222,0,0,0,0,0,0,0,0,45,580,4,82
"DALLASCOWBOYS","DST","espn","Dallas Cowboys","DAL",24,223,0,0,0,0,0,0,0,0,0,0,0,82
"AUSTINSEFERIANJENKINS","TE","espn","Austin Seferian-Jenkins","TB",17,224,0,0,0,0,0,0,0,0,48,584,4,81.5
"ROYHELU","RB","espn","Roy Helu","OAK",48,225,0,0,0,0,0,76,313,2,44,347,1,81.2
"KENNYSTILLS","WR","espn","Kenny Stills","MIA",66,226,0,0,0,0,0,4,26,0,42,612,3,81
"ATLANTAFALCONS","DST","espn","Atlanta Falcons","ATL",25,227,0,0,0,0,0,0,0,0,0,0,0,81
"KYLERUDOLPH","TE","espn","Kyle Rudolph","MIN",18,228,0,0,0,0,0,0,0,0,52,578,4,80.9
